class	title	aliases	class_uri	description	in_subset	is_a	mixin	mixins
> class	title	aliases	class_uri	description	in_subset	is_a	mixin	mixins
MigsEu	migs_eu		MIXS:0010002			Checklist	TRUE	
MigsBa	migs_ba		MIXS:0010003			Checklist	TRUE	
MigsPl	migs_pl		MIXS:0010004			Checklist	TRUE	
MigsVi	migs_vi		MIXS:0010005			Checklist	TRUE	
MigsOrg	migs_org		MIXS:0010006			Checklist	TRUE	
Mims	mims		MIXS:0010007			Checklist	TRUE	
MimarksS	mimarks_s		MIXS:0010008			Checklist	TRUE	
MimarksC	mimarks_c		MIXS:0010009			Checklist	TRUE	
Misag	misag		MIXS:0010010			Checklist	TRUE	
Mimag	mimag		MIXS:0010011			Checklist	TRUE	
Miuvig	miuvig		MIXS:0010012			Checklist	TRUE	
Air	air		MIXS:0016000			EnvironmentalPackage		
BuiltEnvironment	built environment		MIXS:0016001			EnvironmentalPackage		
HostAssociated	host-associated		MIXS:0016002			EnvironmentalPackage		
HumanAssociated	human-associated		MIXS:0016003			EnvironmentalPackage		
HumanGut	human-gut		MIXS:0016004			EnvironmentalPackage		
HumanOral	human-oral		MIXS:0016005			EnvironmentalPackage		
HumanSkin	human-skin		MIXS:0016006			EnvironmentalPackage		
HumanVaginal	human-vaginal		MIXS:0016007			EnvironmentalPackage		
MicrobialMatBiofilm	microbial mat/biofilm		MIXS:0016008			EnvironmentalPackage		
MiscellaneousNaturalOrArtificialEnvironment	miscellaneous natural or artificial environment		MIXS:0016009			EnvironmentalPackage		
PlantAssociated	plant-associated		MIXS:0016010			EnvironmentalPackage		
Sediment	sediment		MIXS:0016011			EnvironmentalPackage		
Soil	soil		MIXS:0016012			EnvironmentalPackage		
WastewaterSludge	wastewater/sludge		MIXS:0016013			EnvironmentalPackage		
Water	water		MIXS:0016014			EnvironmentalPackage		
HydrocarbonResourcesCores	hydrocarbon resources-cores		MIXS:0016015			EnvironmentalPackage		
HydrocarbonResourcesFluidsSwabs	hydrocarbon resources-fluids/swabs		MIXS:0016016			EnvironmentalPackage		
UnknownTerm			MIXS:0016017					
Agriculture	agriculture		MIXS:0016018			EnvironmentalPackage		
FoodAnimalAndAnimalFeed	food-animal and animal feed		MIXS:0016019			EnvironmentalPackage		
FoodFarmEnvironment	food-farm environment		MIXS:0016020			EnvironmentalPackage		
FoodFoodProductionFacility	food-food production facility		MIXS:0016021			EnvironmentalPackage		
FoodHumanFoods	food-human foods		MIXS:0016022			EnvironmentalPackage		
SymbiontAssociated	symbiont-associated		MIXS:0016023			EnvironmentalPackage		
Checklist								
EnvironmentalPackage								
MigsBaPlantAssociated	plant-associated sample according to the MigsBa checklist		MIXS:0010003_0016010			PlantAssociated		MigsBa
MigsBaSediment	sediment sample according to the MigsBa checklist		MIXS:0010003_0016011			Sediment		MigsBa
MigsBaSoil	soil sample according to the MigsBa checklist		MIXS:0010003_0016012			Soil		MigsBa
MimsPlantAssociated	plant-associated sample according to the Mims checklist		MIXS:0010007_0016010			PlantAssociated		Mims
MimsSediment	sediment sample according to the Mims checklist		MIXS:0010007_0016011			Sediment		Mims
MimsSoil	soil sample according to the Mims checklist		MIXS:0010007_0016012			Soil		Mims
